ID, gill attachment, gill spacing, gill size, gill color
1360,f,w,b,n
1361,f,w,b,p
1362,f,c,n,w
1363,f,w,b,k
1364,f,w,b,p
1365,f,w,b,k
1366,f,w,b,p
1367,f,w,b,n
1368,f,w,b,p
1369,f,c,b,n
1370,f,w,b,n
1371,f,w,b,p
1372,f,w,b,p
1373,f,w,b,h
1374,f,c,b,g
1375,f,c,n,p
1376,f,c,n,p
1377,f,w,b,k
1378,f,w,b,k
1379,f,c,n,k
1380,f,w,b,p
1381,f,c,n,n
1382,f,w,b,k
1383,f,c,n,n
1384,f,w,b,n
1385,f,w,b,h
1386,f,w,b,h
1387,f,w,b,k
1388,f,c,b,w
1389,f,c,b,p
1390,f,w,b,k
1391,f,c,b,w
1392,f,w,b,h
1393,f,w,b,h
1394,f,w,b,p
1395,f,w,b,k
1396,f,c,b,p
1397,f,w,b,k
1398,f,w,b,h
1399,f,w,b,p
1400,f,c,n,k
1401,f,w,b,k
1402,f,c,b,p
1403,f,c,b,n
1404,f,w,b,n
1405,f,w,b,h
1406,f,c,n,p
1407,f,w,b,h
1408,f,w,b,p
1409,f,w,b,n
1410,f,w,b,n
1411,f,w,b,k
1412,f,w,b,p
1413,f,w,b,n
1414,f,w,b,n
1415,f,w,b,k
1416,f,w,b,h
1417,f,c,b,g
1418,f,w,b,n
1419,f,w,b,h
1420,f,w,b,k
1421,f,c,n,w
1422,f,w,b,p
1423,f,c,b,n
1424,f,w,b,n
1425,f,w,b,n
1426,f,w,b,n
1427,f,w,b,p
1428,f,w,b,h
1429,f,c,b,n
1430,f,c,n,p
1431,f,w,b,p
1432,f,c,b,p
1433,f,c,n,w
1434,f,c,n,p
1435,f,c,n,p
1436,f,c,b,u
1437,f,c,b,g
1438,f,c,n,k
1439,f,w,b,p
1440,f,w,b,n
1441,f,c,b,n
1442,f,w,b,h
1443,f,w,b,p
1444,f,w,b,n
1445,f,c,n,p
1446,f,c,n,w
1447,f,w,b,p
1448,f,w,b,p
1449,f,c,b,n
1450,f,w,b,k
1451,f,w,b,h
1452,f,c,n,k
1453,f,w,b,n
1454,f,c,n,p
1455,f,w,b,n
1456,f,w,b,p
1457,f,w,b,n
1458,f,c,b,n
1459,f,w,b,h
1460,f,c,n,k
1461,f,c,b,p
1462,f,w,b,n
1463,f,w,b,k
1464,f,w,n,n
1465,f,w,b,p
1466,f,c,b,p
1467,f,c,b,n
1468,f,w,n,p
1469,f,w,b,h
1470,f,w,b,n
1471,f,c,b,u
1472,f,w,b,p
1473,f,c,n,n
1474,f,w,b,p
1475,f,w,b,h
1476,f,w,b,k
1477,f,w,b,p
1478,f,w,b,k
1479,f,c,n,p
1480,f,w,b,k
1481,f,w,b,k
1482,f,w,b,n
1483,f,w,b,p
1484,f,w,b,k
1485,f,c,b,n
1486,f,c,n,n
1487,f,w,b,p
1488,f,w,b,k
1489,f,w,b,h
1490,f,c,n,p
1491,f,w,b,p
1492,f,c,n,p
1493,f,w,b,n
1494,f,w,b,p
1495,f,w,b,n
1496,f,w,b,n
1497,f,w,b,h
1498,f,w,b,p
1499,f,w,b,k
1500,f,w,b,p
1501,f,w,b,p
1502,f,c,b,n
1503,f,w,b,k
1504,f,w,b,h
1505,f,w,b,n
1506,f,c,b,p
1507,f,c,n,w
1508,f,c,b,p
1509,f,w,b,h
1510,f,c,b,p
1511,f,w,b,n
1512,f,w,b,k
1513,f,w,b,h
1514,f,c,b,g
1515,f,w,n,p
1516,f,w,b,n
1517,f,w,b,h
1518,f,w,b,n
1519,f,c,b,g
1520,f,w,b,h
1521,f,c,b,n
1522,f,w,b,n
1523,f,w,b,k
1524,f,w,b,n
1525,f,w,b,n
1526,f,w,b,n
1527,f,c,b,w
1528,f,w,b,n
1529,f,c,b,g
1530,f,w,b,n
1531,f,c,n,n
1532,f,w,b,h
1533,f,c,n,n
1534,f,w,b,h
1535,f,w,b,k
1536,f,c,n,p
1537,f,w,b,p
1538,f,c,n,p
1539,f,w,b,p
1540,f,w,b,p
1541,f,c,n,w
1542,f,w,b,n
1543,f,w,b,h
1544,f,w,b,p
1545,f,w,b,p
1546,f,c,b,u
1547,f,c,n,k
1548,f,w,b,k
1549,f,c,b,w
1550,f,w,b,h
1551,f,w,b,k
1552,f,c,b,g
1553,f,w,b,k
1554,f,w,b,n
1555,f,w,b,h
1556,f,c,n,w
1557,f,w,b,h
1558,f,c,b,w
1559,f,w,b,p
1560,f,w,b,h
1561,f,w,b,h
1562,f,w,b,p
1563,f,w,b,p
1564,f,c,b,p
1565,f,c,b,g
1566,f,c,b,n
1567,f,c,n,p
1568,f,w,b,h
1569,f,c,n,k
1570,f,w,b,n
1571,f,w,b,k
1572,f,w,b,k
1573,f,w,b,n
1574,f,w,b,n
1575,f,c,b,g
1576,f,w,b,k
1577,f,w,b,k
1578,f,c,n,p
1579,f,w,b,n
1580,f,c,n,n
1581,f,w,b,n
1582,f,c,b,p
1583,f,w,b,k
1584,f,c,n,w
1585,f,w,b,h
1586,f,c,n,w
1587,f,c,b,p
1588,f,w,b,p
1589,f,c,b,n
1590,f,w,b,h
1591,f,w,b,p
1592,f,w,b,n
1593,f,w,b,p
1594,f,w,b,n
1595,f,w,b,n
1596,f,w,b,k
1597,f,c,b,w
1598,f,w,b,p
1599,f,w,b,p
1600,f,c,b,w
1601,f,c,b,n
1602,f,w,b,k
1603,f,w,b,k
1604,f,w,b,h
1605,f,w,b,p
1606,f,w,b,n
1607,f,w,b,k
1608,f,w,b,n
1609,f,c,b,p
1610,f,w,b,k
1611,f,w,b,k
1612,f,w,b,p
1613,f,c,n,p
1614,f,c,n,p
1615,f,c,n,p
1616,f,c,b,u
1617,f,w,b,n
1618,f,w,b,k
1619,f,w,b,h
1620,f,w,b,h
1621,f,w,b,h
1622,f,w,b,n
1623,f,w,b,p
1624,f,w,b,n
1625,f,c,b,n
1626,f,c,n,k
1627,f,w,b,h
1628,f,c,b,n
1629,f,c,n,k
1630,f,c,n,k
1631,f,c,n,n
1632,f,w,b,h
1633,f,w,b,h
1634,f,w,b,h
1635,f,w,b,h
1636,f,w,b,k
1637,f,c,n,p
1638,f,c,n,n
1639,f,w,b,p
1640,f,w,b,k
1641,f,w,b,h
1642,f,c,b,w
1643,f,c,b,n
1644,f,w,b,p
1645,f,w,b,n
1646,f,w,b,k
1647,f,c,b,n
1648,f,w,b,n
1649,f,w,b,h
1650,f,w,b,n
1651,f,w,b,p
1652,f,w,b,n
1653,f,w,b,h
1654,f,w,b,h
1655,f,w,b,p
1656,f,w,b,p
1657,f,w,b,n
1658,f,w,b,p
1659,f,w,b,h
1660,f,w,b,n
1661,f,w,b,h
1662,f,w,b,p
1663,f,c,b,g
1664,f,c,b,n
1665,f,w,b,p
1666,f,c,n,k
1667,f,w,b,k
1668,f,c,n,w
1669,f,c,b,n
1670,f,c,n,w
1671,f,c,b,g
1672,f,c,b,n
1673,f,c,b,n
1674,f,w,b,n
1675,f,w,b,p
1676,f,w,b,p
1677,f,w,b,n
1678,f,w,b,h
1679,f,w,b,n
1680,f,w,b,n
1681,f,c,b,n
1682,f,w,b,p
1683,f,c,b,w
1684,f,c,n,n
1685,f,w,b,p
1686,f,w,b,h
1687,f,w,b,n
1688,f,w,b,h
1689,f,c,b,p
1690,f,c,b,n
1691,f,c,b,n
1692,f,c,b,w
1693,f,w,b,p
1694,f,w,b,h
1695,f,w,b,n
1696,f,w,b,k
1697,f,w,b,n
1698,f,w,b,n
1699,f,w,b,k
1700,f,w,b,k
1701,f,c,b,w
1702,f,w,b,k
1703,f,w,b,n
1704,f,c,n,w
1705,f,c,b,n
1706,f,w,b,p
1707,f,w,b,n
1708,f,c,n,n
1709,f,w,b,k
1710,f,c,b,n
1711,f,w,b,p
1712,f,w,b,h
1713,f,c,b,w
1714,f,w,b,h
1715,f,w,b,p
1716,f,c,b,u
1717,f,c,b,w
1718,f,c,b,k
1719,f,w,b,p
1720,f,w,b,k
1721,f,w,b,n
1722,f,w,b,p
1723,f,w,b,h
1724,f,w,b,n
1725,f,c,b,g
1726,f,c,n,k
1727,f,w,b,k
1728,f,w,b,k
1729,f,c,b,n
1730,f,w,b,n
1731,f,w,b,k
1732,f,c,n,n
1733,f,w,b,n
1734,f,w,b,p
1735,f,c,n,n
1736,f,w,b,p
1737,f,w,b,p
1738,f,c,b,u
1739,f,w,b,p
1740,f,c,n,p
1741,f,w,b,h
1742,f,w,b,h
1743,f,w,b,p
1744,f,w,b,n
1745,f,c,b,w
1746,f,c,n,w
1747,f,w,b,p
1748,f,c,n,p
1749,f,c,n,w
1750,f,w,b,n
1751,f,w,b,k
1752,f,c,b,n
1753,f,w,b,h
1754,f,w,b,h
1755,f,c,n,n
1756,f,w,b,h
1757,f,w,b,k
1758,f,w,b,n
1759,f,c,b,p
1760,f,w,b,k
1761,f,w,b,n
1762,f,w,b,k
1763,f,w,b,h
1764,f,c,b,n
1765,f,w,b,p
1766,f,c,n,n
1767,f,w,b,n
1768,f,w,b,k
1769,f,c,b,p
1770,f,c,b,p
1771,f,w,b,k
1772,f,w,b,h
1773,f,w,b,k
1774,f,c,b,k
1775,f,c,b,p
1776,f,w,b,p
1777,f,w,b,n
1778,f,c,n,n
1779,f,c,n,k
1780,f,w,b,p
1781,f,c,n,n
1782,f,w,b,p
1783,f,w,b,k
1784,f,c,n,w
1785,f,c,b,k
1786,f,w,b,h
1787,f,c,n,n
1788,f,w,b,h
1789,f,w,b,k
1790,f,w,b,n
1791,f,c,n,n
1792,f,w,b,k
1793,f,w,b,h
1794,f,w,b,p
1795,f,w,b,p
1796,f,c,n,k
1797,f,w,b,p
1798,f,w,b,p
1799,f,c,n,k
1800,f,w,b,p
1801,f,c,b,w
1802,f,w,b,h
1803,f,c,b,u
1804,f,c,b,p
1805,f,c,b,n
1806,f,c,b,p
1807,f,w,b,h
1808,f,c,b,u
1809,f,c,b,p
1810,f,w,b,p
1811,f,c,n,n
1812,f,c,b,n
1813,f,c,n,n
1814,f,c,b,n
1815,f,w,b,h
1816,f,c,b,g
1817,f,c,b,h
1818,f,w,b,k
1819,f,w,b,p
1820,f,c,b,p
1821,f,w,b,h
1822,f,w,b,h
1823,f,c,n,p
1824,f,c,b,p
1825,f,c,b,k
1826,f,w,b,n
1827,f,c,b,n
1828,f,w,b,n
1829,f,w,b,p
1830,f,c,b,n
1831,f,c,b,w
1832,f,c,b,u
1833,f,w,b,n
1834,f,c,b,u
1835,f,c,b,u
1836,f,c,b,w
1837,f,c,b,w
1838,f,w,b,h
1839,f,c,b,p
1840,f,w,b,n
1841,f,w,b,h
1842,f,w,b,p
1843,f,c,b,p
1844,f,c,n,k
1845,f,c,b,p
1846,f,w,b,p
1847,f,w,b,h
1848,f,c,b,w
1849,f,c,b,p
1850,f,c,b,w
1851,f,c,b,n
1852,f,w,b,h
1853,f,c,b,w
1854,f,c,b,p
1855,f,c,b,u
1856,f,c,b,n
1857,f,w,n,w
1858,f,c,b,w
1859,f,c,n,w
1860,f,w,b,h
1861,f,c,b,u
1862,f,c,b,w
1863,f,w,b,h
1864,f,c,b,w
1865,f,w,b,n
1866,f,c,b,w
1867,f,c,b,u
1868,f,w,b,p
1869,f,w,b,n
1870,f,w,b,n
1871,f,w,b,n
1872,f,c,b,n
1873,f,w,b,n
1874,f,w,b,k
1875,f,c,b,w
1876,f,c,b,p
1877,f,c,b,u
1878,f,c,b,p
1879,f,w,b,h
1880,f,w,b,n
1881,f,w,b,h
1882,f,w,b,k
1883,f,c,b,u
1884,f,c,b,u
1885,f,c,b,w
1886,f,w,n,p
1887,f,w,b,k
1888,f,c,n,n
1889,f,c,b,n
1890,f,c,b,w
1891,f,w,b,k
1892,f,w,b,h
1893,f,w,b,h
1894,f,w,b,n
1895,f,w,b,h
1896,f,c,b,w
1897,f,c,b,u
1898,f,w,b,k
1899,f,w,b,n
1900,f,w,b,p
1901,f,c,b,n
1902,f,w,b,h
1903,f,w,b,k
1904,f,w,b,h
1905,f,w,b,k
1906,f,w,b,k
1907,f,w,b,p
1908,f,c,b,w
1909,f,w,b,h
1910,f,w,b,n
1911,f,c,b,p
1912,f,c,b,u
1913,f,c,b,n
1914,f,w,b,h
1915,f,w,b,p
1916,f,c,b,p
1917,f,c,n,w
1918,f,w,b,h
1919,f,w,b,k
1920,f,c,b,p
1921,f,c,b,u
1922,f,w,b,p
1923,f,w,b,n
1924,f,w,b,h
1925,f,c,b,w
1926,f,c,b,w
1927,f,w,b,p
1928,f,w,b,p
1929,f,w,b,h
1930,f,w,b,p
1931,f,c,n,w
1932,f,c,b,k
1933,f,c,b,w
1934,f,w,b,k
1935,f,w,b,k
1936,f,w,b,k
1937,f,w,n,n
1938,f,w,b,h
1939,f,w,b,h
1940,f,w,b,k
1941,f,c,b,p
1942,f,c,b,n
1943,f,c,b,n
1944,f,w,b,k
1945,f,w,b,n
1946,f,c,n,k
1947,f,w,b,p
1948,f,c,b,w
1949,f,c,b,n
1950,f,w,b,p
1951,f,c,b,w
1952,f,c,b,u
1953,f,c,b,p
1954,f,c,b,u
1955,f,c,b,p
1956,f,c,n,p
1957,f,w,b,k
1958,f,c,b,w
1959,f,c,b,p
1960,f,c,n,w
1961,f,c,b,u
1962,f,w,b,h
1963,f,c,b,u
1964,f,w,b,k
1965,f,w,b,h
1966,f,w,b,p
1967,f,c,b,w
1968,f,w,b,k
1969,f,c,b,n
1970,f,w,b,h
1971,f,w,b,k
1972,f,w,b,h
1973,f,c,n,w
1974,f,c,b,p
1975,f,w,b,k
1976,f,c,n,n
1977,f,c,b,n
1978,f,c,b,u
1979,f,w,b,p
1980,f,c,b,p
1981,f,w,b,p
1982,f,w,b,h
1983,f,c,b,k
1984,f,w,b,p
1985,f,c,b,u
1986,f,c,b,n
1987,f,w,b,n
1988,f,c,n,n
1989,f,c,b,w
1990,f,c,n,n
1991,f,c,n,w
1992,f,c,b,p
1993,f,w,b,h
1994,f,c,b,p
1995,f,w,b,h
1996,f,c,b,w
1997,f,w,b,p
1998,f,w,b,p
1999,f,w,b,k
2000,f,w,b,k
2001,f,c,b,w
2002,f,c,b,u
2003,f,w,b,k
2004,f,c,b,w
2005,f,c,n,w
2006,f,c,b,n
2007,f,c,n,p
2008,f,w,b,h
2009,f,w,b,n
2010,f,c,n,w
2011,f,w,b,k
2012,f,w,b,n
2013,f,c,b,u
2014,f,w,b,k
2015,f,w,b,k
2016,f,w,b,p
2017,f,w,b,h
2018,f,w,n,n
2019,f,w,n,n
2020,f,w,b,p
2021,f,c,b,u
2022,f,c,b,n
2023,f,c,b,u
2024,f,w,b,k
2025,f,c,b,u
2026,f,c,b,n
2027,f,w,b,p
2028,f,c,b,n
2029,f,w,b,h
2030,f,c,b,k
2031,f,c,b,u
2032,f,w,b,h
2033,f,c,b,w
2034,f,c,b,p
2035,f,c,b,u
2036,f,w,b,p
2037,f,w,b,k
2038,f,w,b,p
2039,f,w,b,n
2040,f,c,b,w
2041,f,c,b,w
2042,f,c,b,n
2043,f,w,b,k
2044,f,w,b,n
2045,f,w,b,n
2046,f,c,b,p
2047,f,c,b,u
2048,f,w,b,h
2049,f,c,b,p
2050,f,c,b,n
2051,f,w,b,k
2052,f,c,b,k
2053,f,w,b,p
2054,f,w,b,p
2055,f,c,b,u
2056,f,w,b,k
2057,f,c,b,u
2058,f,c,b,p
2059,f,w,b,p
2060,f,c,b,n
2061,f,w,b,n
2062,f,c,n,n
2063,f,w,b,p
2064,f,c,b,n
2065,f,w,b,n
2066,f,c,b,u
2067,f,c,b,p
2068,f,c,n,n
2069,f,w,b,p
2070,f,c,b,n
2071,f,c,b,n
2072,f,c,b,n
2073,f,c,b,w
2074,f,c,b,u
2075,f,c,n,p
2076,f,c,b,k
2077,f,c,b,n
2078,f,c,b,w
2079,f,w,b,n
2080,f,c,b,u
2081,f,w,b,k
2082,f,w,b,p
2083,f,c,b,n
2084,f,c,b,u
2085,f,w,b,n
2086,f,w,b,n
2087,f,w,b,h
2088,f,c,b,p
2089,f,c,b,n
2090,f,c,n,p
2091,f,c,b,p
2092,f,w,b,k
2093,f,c,b,g
2094,f,w,b,h
2095,f,w,b,k
2096,f,c,b,p
2097,f,c,b,n
2098,f,w,b,p
2099,f,c,n,n
2100,f,w,b,k
2101,f,c,b,p
2102,f,c,b,p
2103,f,c,b,w
2104,f,c,b,p
2105,f,c,b,w
2106,f,c,b,u
2107,f,c,b,p
2108,f,c,b,u
2109,f,c,b,w
2110,f,c,b,p
2111,f,c,b,w
2112,f,c,b,u
2113,f,c,n,w
2114,f,c,b,n
2115,f,c,b,p
2116,f,c,b,p
2117,f,c,b,w
2118,f,c,b,n
2119,f,c,b,n
2120,f,c,b,u
2121,f,c,b,p
2122,f,c,b,n
2123,f,c,b,p
2124,f,c,b,u
2125,f,c,b,w
2126,f,c,b,u
2127,f,c,b,p
2128,f,c,b,n
2129,f,c,b,p
2130,f,c,n,p
2131,f,c,b,n
2132,f,w,b,h
2133,f,c,b,u
2134,f,c,b,n
2135,f,c,b,w
2136,f,c,b,u
2137,f,c,b,w
2138,f,c,b,u
2139,f,c,b,n
2140,f,c,b,w
2141,f,c,b,w
2142,f,c,b,u
2143,f,c,b,p
2144,f,c,b,n
2145,f,c,b,p
2146,f,c,b,n
2147,f,c,b,n
2148,f,c,n,n
2149,f,c,b,u
2150,f,c,n,w
2151,f,c,b,u
2152,f,c,b,p
2153,f,c,b,u
2154,f,c,b,p
2155,f,c,b,n
2156,f,c,b,p
2157,f,c,b,n
2158,f,c,b,u
2159,f,c,b,w
2160,f,c,b,u
2161,f,c,b,u
2162,f,c,b,p
2163,f,c,b,p
2164,f,c,b,u
2165,f,c,b,u
2166,f,c,b,n
2167,f,c,b,w
2168,f,c,b,p
2169,f,c,b,n
2170,f,c,b,p
2171,f,c,b,p
2172,f,c,b,n
2173,f,c,b,n
2174,f,c,b,n
2175,f,c,b,n
2176,f,c,b,p
2177,f,c,b,w
2178,f,c,b,p
2179,f,c,b,p
2180,f,c,b,u
2181,f,c,b,w
2182,f,c,b,u
2183,f,c,b,p
2184,f,c,b,w
2185,f,c,b,p
2186,f,c,b,p
2187,f,c,b,p
2188,f,c,b,n
2189,f,c,b,w
2190,f,c,b,u
2191,f,c,b,u
2192,f,c,b,w
2193,f,w,b,k
2194,f,c,b,u
2195,f,c,b,p
2196,f,c,b,n
2197,f,c,b,n
2198,f,c,b,u
2199,f,c,b,n
2200,f,c,b,p
2201,f,w,b,p
2202,f,c,b,w
2203,f,c,b,w
2204,f,c,b,p
2205,f,c,b,w
2206,f,c,b,u
2207,f,c,b,u
2208,f,c,b,w
2209,f,c,b,w
2210,f,c,b,w
2211,f,w,n,g
2212,f,c,b,p
2213,f,c,b,n
2214,f,c,b,p
2215,f,c,b,p
2216,f,c,b,w
2217,f,c,b,w
2218,f,c,b,p
2219,f,c,b,n
2220,f,c,b,w
2221,f,c,b,w
2222,f,c,b,p
2223,f,c,b,n
2224,f,c,b,u
2225,f,c,b,w
2226,f,c,b,p
2227,f,c,b,n
2228,f,w,b,k
2229,f,c,b,p
2230,f,c,b,p
2231,f,c,b,p
2232,f,c,b,w
2233,f,c,b,p
2234,f,c,b,p
2235,f,c,b,p
2236,f,c,b,p
2237,f,c,b,p
2238,f,w,b,h
2239,f,c,b,g
2240,f,c,b,p
2241,f,c,b,w
2242,f,c,n,w
2243,f,c,b,u
2244,f,c,b,n
2245,f,c,b,n
2246,f,c,b,n
2247,f,c,b,p
2248,f,w,b,n
2249,f,c,b,u
2250,f,c,b,n
2251,f,c,b,u
2252,f,c,b,w
2253,f,w,b,h
2254,f,c,b,p
2255,f,c,b,w
2256,f,c,b,p
2257,f,c,b,u
2258,f,c,b,w
2259,f,c,b,u
2260,f,c,b,n
2261,f,w,b,n
2262,f,c,b,w
2263,f,c,b,n
2264,f,c,b,w
2265,f,c,b,w
2266,f,c,b,n
2267,f,w,b,h
2268,f,c,b,p
2269,f,c,b,p
2270,f,c,b,p
2271,f,c,b,n
2272,f,w,b,n
2273,f,c,b,n
2274,f,c,b,u
2275,f,c,b,n
2276,f,c,b,u
2277,f,c,b,u
2278,f,c,b,w
2279,f,c,b,n
2280,f,c,b,w
2281,f,c,b,p
2282,f,c,b,u
2283,f,c,b,p
2284,f,c,b,n
2285,f,c,b,p
2286,f,w,n,n
2287,f,c,b,w
2288,f,c,b,p
2289,f,c,n,p
2290,f,c,b,u
2291,f,c,b,u
2292,f,c,b,n
2293,f,c,b,n
2294,f,c,b,p
2295,f,c,b,p
2296,f,w,b,n
2297,f,c,b,p
2298,f,w,b,p
2299,f,c,b,w
2300,f,c,b,p
2301,f,c,b,p
2302,f,c,b,u
2303,f,c,b,w
2304,f,c,b,w
2305,f,c,b,w
2306,f,c,b,n
2307,f,c,b,p
2308,f,c,b,p
2309,f,c,b,n
2310,f,c,b,w
2311,f,c,b,w
2312,f,c,b,n
2313,f,c,b,p
2314,f,c,b,u
2315,f,c,b,w
2316,f,c,b,w
2317,f,c,b,p
2318,f,c,b,w
2319,f,c,b,p
2320,f,c,b,n
2321,f,c,b,w
2322,f,c,b,w
2323,f,c,b,p
2324,f,c,b,w
2325,f,c,b,u
2326,f,c,b,u
2327,f,c,b,w
2328,f,c,b,u
2329,f,c,b,w
2330,f,c,b,w
2331,f,c,b,w
2332,f,c,b,w
2333,f,c,b,n
2334,f,c,b,u
2335,f,c,b,u
2336,f,c,b,w
2337,f,c,b,p
2338,f,c,b,u
2339,f,c,b,w
2340,f,c,b,n
2341,f,c,b,u
2342,f,c,b,u
2343,f,c,b,u
2344,f,c,b,w
2345,f,c,b,p
2346,f,c,b,u
2347,f,w,b,h
2348,f,c,b,w
2349,f,w,b,n
2350,f,c,b,u
2351,f,c,b,w
2352,f,c,n,w
2353,f,c,b,n
2354,f,c,b,w
2355,f,c,b,w
2356,f,c,b,n
2357,f,c,b,n
2358,f,c,b,p
2359,f,c,b,n
2360,f,c,b,n
2361,f,c,b,n
2362,f,c,b,p
2363,f,c,b,u
2364,f,c,b,n
2365,f,c,b,w
2366,f,c,b,p
2367,f,c,b,n
2368,f,w,b,k
2369,f,c,b,n
2370,f,c,b,w
2371,f,c,b,w
2372,f,c,b,p
2373,f,c,b,n
2374,f,c,b,u
2375,f,c,b,p
2376,f,c,n,w
2377,f,c,b,w
2378,f,w,b,k
2379,f,w,b,p
2380,f,c,b,p
2381,f,c,b,n
2382,f,c,b,n
2383,f,c,b,n
2384,f,c,b,u
2385,f,c,b,w
2386,f,c,b,h
2387,f,c,b,w
2388,f,w,b,h
2389,f,c,n,n
2390,f,c,b,p
2391,f,c,b,n
2392,f,c,b,p
2393,f,c,b,u
2394,f,c,b,w
2395,f,c,b,u
2396,f,c,b,u
2397,f,c,b,u
2398,f,c,b,n
2399,f,c,b,u
2400,f,c,b,n
2401,f,c,n,n
2402,f,c,b,n
2403,f,c,b,p
2404,f,c,b,w
2405,f,c,b,p
2406,f,c,b,w
2407,f,c,b,w
2408,f,c,b,w
2409,f,c,b,w
2410,f,c,b,n
2411,f,c,b,p
2412,f,c,b,p
2413,f,c,b,p
2414,f,c,b,n
2415,f,c,b,u
2416,f,c,b,p
2417,f,c,b,w
2418,f,c,b,u
2419,f,c,b,p
2420,f,c,b,p
2421,f,c,b,u
2422,f,c,b,p
2423,f,c,b,p
2424,f,c,b,n
2425,f,c,b,u
2426,f,c,b,p
2427,f,c,n,g
2428,f,c,b,u
2429,f,c,b,w
2430,f,c,b,w
2431,f,c,b,u
2432,f,c,b,n
2433,f,c,b,w
2434,f,c,b,n
2435,f,c,b,p
2436,f,c,b,u
2437,f,c,b,p
2438,f,c,b,u
2439,f,c,b,p
2440,f,c,b,u
2441,f,c,b,u
2442,f,c,b,w
2443,f,c,b,n
2444,f,c,b,h
2445,f,c,b,u
2446,f,c,b,p
2447,f,c,b,w
2448,f,c,b,p
2449,f,c,b,p
2450,f,c,b,n
2451,f,c,b,p
2452,f,c,b,w
2453,f,w,b,k
2454,f,c,b,n
2455,f,c,b,p
2456,f,c,b,p
2457,f,c,b,n
2458,f,c,b,p
2459,f,c,b,p
2460,f,c,b,w
2461,f,c,b,w
2462,f,c,b,p
2463,f,c,b,n
2464,f,c,b,u
2465,f,c,b,u
2466,f,c,b,p
2467,f,c,b,p
2468,f,c,b,p
2469,f,c,b,u
2470,f,c,b,w
2471,f,c,b,p
2472,f,c,b,p
2473,f,c,b,w
2474,f,c,b,w
2475,f,c,b,p
2476,f,c,b,n
2477,f,c,b,w
2478,f,c,b,u
2479,f,c,n,k
2480,f,w,b,n
2481,f,c,b,u
2482,f,c,b,n
2483,f,w,n,u
2484,f,c,b,w
2485,f,c,b,p
2486,f,c,b,p
2487,f,c,b,u
2488,f,w,b,k
2489,f,c,b,p
2490,f,c,b,n
2491,f,c,b,n
2492,f,c,b,n
2493,f,c,b,n
2494,f,c,b,w
2495,f,c,b,p
2496,f,c,n,p
2497,f,c,b,u
2498,f,c,b,w
2499,f,c,b,n
2500,f,c,b,p
2501,f,w,b,h
2502,f,w,b,k
2503,f,c,b,w
2504,f,c,b,n
2505,f,c,b,p
2506,f,c,b,u
2507,f,c,b,p
2508,f,c,b,w
2509,f,c,b,w
2510,f,c,b,w
2511,f,c,b,n
2512,f,c,b,w
2513,f,w,n,p
2514,f,c,b,u
2515,f,c,b,p
2516,f,c,b,u
2517,f,c,b,p
2518,f,c,b,w
2519,f,w,b,n
2520,f,c,b,u
2521,f,c,b,p
2522,f,c,b,n
2523,f,c,b,p
2524,f,c,b,n
2525,f,c,b,n
2526,f,c,b,n
2527,f,c,b,u
2528,f,c,b,w
2529,f,c,b,p
2530,f,c,b,p
2531,f,c,b,n
2532,f,c,b,w
2533,f,c,b,n
2534,f,c,b,g
2535,f,c,b,u
2536,f,c,b,u
2537,f,c,b,h
2538,f,c,b,n
2539,f,c,b,n
2540,f,c,b,h
2541,f,w,n,n
2542,f,c,b,u
2543,f,c,b,p
2544,f,c,b,u
2545,f,c,b,w
2546,f,c,b,n
2547,f,c,b,n
2548,f,c,b,w
2549,f,c,b,p
2550,f,c,b,w
2551,f,c,b,u
2552,f,c,b,p
2553,f,c,b,u
2554,f,c,b,n
2555,f,c,b,p
2556,f,c,b,u
2557,f,c,b,w
2558,f,c,b,u
2559,f,c,b,n
2560,f,c,b,u
2561,f,c,n,g
2562,f,c,b,u
2563,f,c,b,w
2564,f,c,b,n
2565,f,c,b,n
2566,f,c,b,w
2567,f,c,b,p
2568,f,c,b,n
2569,f,c,b,p
2570,f,c,b,w
2571,f,c,b,p
2572,f,c,b,p
2573,f,c,b,w
2574,f,c,b,p
2575,f,c,b,p
2576,f,c,b,n
2577,f,c,b,u
2578,f,c,b,n
2579,f,c,b,p
2580,f,c,b,n
2581,f,c,b,n
2582,f,c,b,p
2583,f,c,b,n
2584,f,c,b,n
2585,f,c,b,w
2586,f,c,b,p
2587,f,c,b,w
2588,f,c,b,u
2589,f,c,b,w
2590,f,c,b,p
2591,f,c,b,p
2592,f,c,b,n
2593,f,c,b,p
2594,f,c,b,w
2595,f,c,b,g
2596,f,c,b,n
2597,f,c,b,w
2598,f,c,b,n
2599,f,c,b,n
2600,f,c,b,w
2601,f,c,b,u
2602,f,c,b,n
2603,f,c,b,n
2604,f,c,b,w
2605,f,c,b,n
2606,f,c,b,g
2607,f,c,b,p
2608,f,c,b,n
2609,f,c,b,n
2610,f,c,b,n
2611,f,c,b,p
2612,f,c,b,w
2613,f,c,b,u
2614,f,c,b,n
2615,f,c,b,p
2616,f,c,b,w
2617,f,c,b,p
2618,f,c,b,u
2619,f,c,b,w
2620,f,c,b,p
2621,f,c,b,u
2622,f,c,b,n
2623,f,c,b,n
2624,f,c,b,u
2625,f,c,b,p
2626,f,c,b,w
2627,f,c,b,p
2628,f,c,n,g
2629,f,c,b,n
