ID, spore print color, population, habitat, edible or poisonous, bruises, odor
996,k,a,g,e,f,n
997,n,s,m,e,t,l
998,u,v,d,e,t,a
999,n,n,m,e,t,l
1000,k,v,u,p,t,p
1001,k,y,d,e,t,n
1002,n,y,g,e,t,l
1003,n,s,g,e,f,n
1004,k,v,g,p,t,p
1005,n,y,g,e,t,l
1006,n,a,g,e,f,n
1007,n,a,g,e,f,n
1008,n,s,g,e,f,n
1009,n,a,g,e,f,n
1010,n,s,g,e,t,l
1011,n,s,m,e,t,a
1012,k,s,g,e,f,n
1013,n,s,p,e,t,a
1014,k,s,g,e,f,n
1015,k,s,g,e,f,n
1016,u,v,d,e,t,a
1017,n,s,g,e,t,l
1018,n,y,d,e,t,n
1019,n,s,g,p,t,p
1020,k,v,d,e,t,n
1021,n,a,g,e,f,n
1022,k,n,m,e,t,a
1023,k,n,g,e,t,a
1024,n,s,m,e,t,a
1025,k,v,u,p,t,p
1026,n,s,g,p,t,p
1027,n,v,u,e,f,n
1028,u,v,d,e,t,l
1029,k,n,m,e,t,l
1030,k,a,g,e,f,n
1031,n,y,d,e,t,n
1032,k,v,g,p,t,p
1033,n,s,g,e,f,n
1034,n,s,g,e,f,n
1035,n,s,g,e,f,n
1036,k,a,g,e,f,n
1037,k,s,m,e,t,a
1038,n,v,d,e,t,a
1039,k,y,u,e,f,n
1040,k,s,u,p,t,p
1041,n,y,p,e,t,a
1042,k,s,p,e,t,a
1043,k,a,g,e,f,n
1044,n,v,d,e,t,n
1045,n,a,g,e,f,n
1046,n,s,g,e,t,a
1047,n,s,g,e,f,n
1048,n,s,u,p,t,p
1049,k,v,d,e,t,n
1050,k,a,g,e,f,n
1051,k,v,d,e,t,n
1052,k,y,d,e,t,n
1053,n,a,g,e,f,n
1054,n,s,p,e,t,l
1055,k,s,g,e,f,n
1056,k,s,g,e,t,l
1057,n,v,d,e,t,l
1058,n,s,g,e,f,n
1059,k,n,g,e,t,l
1060,n,s,g,e,f,n
1061,n,a,g,e,f,n
1062,n,v,d,e,t,l
1063,n,s,g,e,f,n
1064,n,s,g,e,f,n
1065,k,s,u,p,t,p
1066,u,v,d,e,t,l
1067,k,s,g,e,t,a
1068,n,a,g,e,f,n
1069,k,v,d,e,t,n
1070,n,s,g,e,t,l
1071,n,a,g,e,f,n
1072,n,v,g,p,t,p
1073,n,s,g,e,t,a
1074,k,y,d,e,t,n
1075,k,s,p,e,t,l
1076,k,a,g,e,f,n
1077,n,y,u,e,f,n
1078,n,v,g,p,t,p
1079,n,s,g,e,f,n
1080,k,s,p,e,t,l
1081,k,a,g,e,f,n
1082,n,v,u,p,t,p
1083,k,n,m,e,t,l
1084,k,s,g,e,f,n
1085,k,n,g,e,t,l
1086,n,s,g,e,f,n
1087,n,n,m,e,t,l
1088,k,n,m,e,t,l
1089,k,v,g,p,t,p
1090,k,s,g,e,t,l
1091,k,y,u,e,f,n
1092,k,y,g,e,t,a
1093,n,a,g,e,f,n
1094,u,v,d,e,t,l
1095,n,a,g,e,f,n
1096,k,v,u,p,t,p
1097,k,a,g,e,f,n
1098,k,a,g,e,f,n
1099,k,s,g,e,f,n
1100,n,s,g,p,t,p
1101,n,a,g,e,f,n
1102,n,s,g,e,f,n
1103,n,s,g,e,f,n
1104,n,s,g,p,t,p
1105,n,a,g,e,f,n
1106,k,a,g,e,f,n
1107,k,v,u,p,t,p
1108,n,a,g,e,f,n
1109,n,n,g,e,t,l
1110,n,a,g,e,f,n
1111,k,a,g,e,f,n
1112,k,s,g,p,t,p
1113,n,s,g,e,t,a
1114,k,a,g,e,f,n
1115,k,s,g,e,t,l
1116,k,s,g,e,f,n
1117,n,s,g,e,f,n
1118,n,s,g,e,f,n
1119,k,s,g,e,f,n
1120,n,s,g,e,f,n
1121,k,s,g,e,f,n
1122,k,a,g,e,f,n
1123,n,s,g,e,f,n
1124,k,v,d,e,t,n
1125,u,v,d,e,t,a
1126,k,s,g,e,f,n
1127,k,a,g,e,f,n
1128,n,n,g,e,t,a
1129,n,a,g,e,f,n
1130,k,a,g,e,f,n
1131,n,v,u,p,t,p
1132,k,a,g,e,f,n
1133,k,s,g,p,t,p
1134,n,s,g,e,f,n
1135,k,n,g,e,t,a
1136,k,s,g,e,f,n
1137,n,y,d,e,t,n
1138,n,s,g,e,t,l
1139,n,a,g,e,f,n
1140,n,a,g,e,f,n
1141,n,a,g,e,f,n
1142,n,v,d,e,t,n
1143,n,s,g,e,f,n
1144,k,a,g,e,f,n
1145,n,a,g,e,f,n
1146,n,s,g,e,f,n
1147,k,s,g,e,f,n
1148,n,a,g,e,f,n
1149,k,a,g,e,f,n
1150,k,a,g,e,f,n
1151,k,a,g,e,f,n
1152,k,y,p,e,t,a
1153,n,v,g,p,t,p
1154,k,a,g,e,f,n
1155,k,v,g,p,t,p
1156,n,s,m,e,t,a
1157,k,s,g,e,f,n
1158,k,a,g,e,f,n
1159,n,s,g,e,f,n
1160,k,s,g,e,f,n
1161,n,n,g,e,t,a
1162,k,s,g,e,f,n
1163,n,v,d,e,t,n
1164,k,s,p,e,t,a
1165,k,s,g,e,f,n
1166,n,n,m,e,t,a
1167,k,v,g,p,t,p
1168,k,y,d,e,t,n
1169,k,s,g,e,f,n
1170,n,n,m,e,t,a
1171,k,s,g,e,f,n
1172,k,v,d,e,t,n
1173,n,a,g,e,f,n
1174,k,v,u,e,f,n
1175,k,v,u,e,f,n
1176,k,y,u,e,f,n
1177,k,s,m,e,t,l
1178,n,v,u,e,f,n
1179,n,a,g,e,f,n
1180,k,s,p,e,t,a
1181,k,y,p,e,t,l
1182,k,y,g,e,t,l
1183,n,a,g,e,f,n
1184,k,n,g,e,t,a
1185,k,s,g,e,t,a
1186,n,a,g,e,f,n
1187,k,a,g,e,f,n
1188,k,v,u,p,t,p
1189,n,s,g,e,t,l
1190,n,s,g,e,f,n
1191,k,s,g,e,f,n
1192,n,s,m,e,t,l
1193,n,v,d,e,t,n
1194,n,s,p,e,t,l
1195,k,n,g,e,t,a
1196,k,s,g,p,t,p
1197,k,s,g,e,f,n
1198,n,n,m,e,t,a
1199,n,n,g,e,t,l
1200,k,s,m,e,t,l
1201,n,n,g,e,t,l
1202,n,n,g,e,t,a
1203,k,n,g,e,t,a
1204,k,s,g,e,f,n
1205,n,s,g,p,t,p
1206,n,a,g,e,f,n
1207,k,a,g,e,f,n
1208,k,s,u,p,t,p
1209,k,a,g,e,f,n
1210,n,s,g,e,f,n
1211,k,a,g,e,f,n
1212,k,a,g,e,f,n
1213,k,y,g,e,t,a
1214,k,a,g,e,f,n
1215,k,a,g,e,f,n
1216,n,v,g,p,t,p
1217,n,a,g,e,f,n
1218,k,s,g,e,f,n
1219,n,a,g,e,f,n
1220,n,s,g,e,f,n
1221,k,s,g,e,t,a
1222,n,s,g,e,f,n
1223,n,a,g,e,f,n
1224,k,s,g,e,f,n
1225,k,a,g,e,f,n
1226,k,s,g,e,f,n
1227,n,v,d,e,t,n
1228,k,a,g,e,f,n
1229,n,v,g,p,t,p
1230,k,y,d,e,t,n
1231,n,s,g,e,f,n
1232,n,s,g,p,t,p
1233,k,a,g,e,f,n
1234,n,a,g,e,f,n
1235,k,a,g,e,f,n
1236,k,a,g,e,f,n
1237,k,a,g,e,f,n
1238,n,s,g,e,f,n
1239,n,s,g,e,f,n
1240,k,s,g,e,f,n
1241,k,v,u,p,t,p
1242,n,a,g,e,f,n
1243,k,s,g,p,t,p
1244,n,s,u,p,t,p
1245,n,s,g,e,f,n
1246,k,a,g,e,f,n
1247,n,a,g,e,f,n
1248,k,a,g,e,f,n
1249,k,a,g,e,f,n
1250,n,a,g,e,f,n
1251,n,y,d,e,t,n
1252,n,v,d,e,t,n
1253,n,a,g,e,f,n
1254,n,v,g,p,t,p
1255,n,s,g,p,t,p
1256,n,a,g,e,f,n
1257,n,s,g,p,t,p
1258,k,s,g,e,f,n
1259,n,a,g,e,f,n
1260,k,v,g,p,t,p
1261,k,v,g,p,t,p
1262,k,v,g,p,t,p
1263,k,s,g,p,t,p
1264,k,a,g,e,f,n
1265,n,v,d,e,t,n
1266,n,a,g,e,f,n
1267,k,a,g,e,f,n
1268,k,v,u,p,t,p
1269,n,s,g,e,f,n
1270,n,y,d,e,t,n
1271,k,s,g,e,f,n
1272,n,s,g,e,f,n
1273,n,s,g,p,t,p
1274,n,a,g,e,f,n
1275,k,s,g,e,f,n
1276,k,s,u,p,t,p
1277,n,a,g,e,f,n
1278,n,s,g,e,f,n
1279,k,s,g,e,f,n
1280,n,s,g,e,f,n
1281,k,n,m,e,t,a
1282,n,a,g,e,f,n
1283,k,s,g,e,f,n
1284,n,s,g,e,f,n
1285,k,a,g,e,f,n
1286,k,a,g,e,f,n
1287,k,s,u,p,t,p
1288,k,s,g,e,f,n
1289,k,y,d,e,t,n
1290,k,a,g,e,f,n
1291,k,v,d,e,t,n
1292,n,a,g,e,f,n
1293,k,a,g,e,f,n
1294,n,v,g,p,t,p
1295,k,v,g,p,t,p
1296,n,a,g,e,f,n
1297,n,v,d,e,t,n
1298,k,s,g,e,f,n
1299,k,s,p,e,t,a
1300,n,a,g,e,f,n
1301,n,a,g,e,f,n
1302,k,a,g,e,f,n
1303,n,s,g,e,f,n
1304,n,y,d,e,t,n
1305,n,a,g,e,f,n
1306,n,s,g,e,f,n
1307,n,s,g,e,f,n
1308,n,s,g,e,f,n
1309,n,a,g,e,f,n
1310,n,s,g,e,f,n
1311,n,s,g,e,f,n
1312,n,a,g,e,f,n
1313,n,s,g,p,t,p
1314,n,a,g,e,f,n
1315,k,n,g,e,t,l
1316,n,s,g,e,f,n
1317,n,s,g,e,f,n
1318,k,y,d,e,t,n
1319,k,s,m,e,t,l
1320,k,s,g,e,f,n
1321,n,y,d,e,t,n
1322,n,s,g,p,t,p
1323,k,s,g,e,f,n
1324,n,s,u,p,t,p
1325,n,a,g,e,f,n
1326,k,a,g,e,f,n
1327,k,n,g,e,t,l
1328,n,a,g,e,f,n
1329,n,a,g,e,f,n
1330,k,s,g,e,f,n
1331,k,s,g,e,f,n
1332,k,a,g,e,f,n
1333,k,v,g,p,t,p
1334,n,a,g,e,f,n
1335,k,a,g,e,f,n
1336,k,y,d,e,t,n
1337,n,a,g,e,f,n
1338,n,y,d,e,t,n
1339,n,n,g,e,t,a
1340,k,s,g,e,f,n
1341,k,a,g,e,f,n
1342,n,a,g,e,f,n
1343,k,s,u,p,t,p
1344,n,y,d,e,t,n
1345,n,s,g,e,f,n
1346,k,a,g,e,f,n
1347,n,v,g,p,t,p
1348,k,s,g,e,f,n
1349,n,y,d,e,t,n
1350,n,v,d,e,t,n
1351,n,v,d,e,t,n
1352,n,s,g,e,f,n
1353,n,s,g,e,f,n
1354,n,a,g,e,f,n
1355,k,a,g,e,f,n
1356,k,a,g,e,f,n
1357,k,s,g,e,f,n
1358,k,a,g,e,f,n
1359,n,a,g,e,f,n
1360,k,s,g,e,f,n
1361,n,a,g,e,f,n
1362,k,v,u,p,t,p
1363,k,a,g,e,f,n
1364,n,s,g,e,f,n
1365,n,a,g,e,f,n
1366,n,s,g,e,f,n
1367,k,a,g,e,f,n
1368,n,a,g,e,f,n
1369,k,v,d,e,t,n
1370,n,a,g,e,f,n
1371,k,s,g,e,f,n
1372,k,s,g,e,f,n
1373,k,s,g,e,f,n
1374,k,s,g,e,t,l
1375,k,s,g,p,t,p
1376,k,v,g,p,t,p
1377,k,s,g,e,f,n
1378,k,s,g,e,f,n
1379,k,s,g,p,t,p
1380,k,s,g,e,f,n
1381,n,v,u,p,t,p
1382,n,a,g,e,f,n
1383,n,v,u,p,t,p
1384,k,a,g,e,f,n
1385,k,a,g,e,f,n
1386,k,a,g,e,f,n
1387,n,s,g,e,f,n
1388,n,v,d,e,t,n
1389,k,v,d,e,t,n
1390,n,s,g,e,f,n
1391,k,y,d,e,t,n
1392,n,s,g,e,f,n
1393,k,a,g,e,f,n
1394,k,s,g,e,f,n
1395,k,s,g,e,f,n
1396,n,y,d,e,t,n
1397,n,s,g,e,f,n
1398,k,s,g,e,f,n
1399,n,s,g,e,f,n
1400,n,s,g,p,t,p
1401,k,s,g,e,f,n
1402,n,y,g,e,t,a
1403,k,y,d,e,t,n
1404,n,a,g,e,f,n
1405,n,a,g,e,f,n
1406,n,s,u,p,t,p
1407,k,a,g,e,f,n
1408,k,a,g,e,f,n
1409,k,a,g,e,f,n
1410,n,s,g,e,f,n
1411,k,s,g,e,f,n
1412,k,s,g,e,f,n
1413,n,a,g,e,f,n
1414,n,a,g,e,f,n
1415,n,a,g,e,f,n
1416,k,a,g,e,f,n
1417,n,s,m,e,t,l
1418,k,a,g,e,f,n
1419,n,s,g,e,f,n
1420,k,a,g,e,f,n
1421,n,s,u,p,t,p
1422,k,s,g,e,f,n
1423,n,v,d,e,t,n
1424,n,s,g,e,f,n
1425,k,a,g,e,f,n
1426,n,a,g,e,f,n
1427,n,s,g,e,f,n
1428,k,s,g,e,f,n
1429,k,s,p,e,t,l
1430,k,v,u,p,t,p
1431,n,s,g,e,f,n
1432,k,v,d,e,t,n
1433,k,s,g,p,t,p
1434,k,s,u,p,t,p
1435,n,s,u,p,t,p
1436,k,y,d,e,t,n
1437,k,n,m,e,t,l
1438,k,s,g,p,t,p
1439,k,a,g,e,f,n
1440,n,s,g,e,f,n
1441,k,y,d,e,t,n
1442,k,a,g,e,f,n
1443,k,s,g,e,f,n
1444,n,s,g,e,f,n
1445,n,s,u,p,t,p
1446,k,v,g,p,t,p
1447,k,s,g,e,f,n
1448,n,s,g,e,f,n
1449,k,v,d,e,t,n
1450,n,s,g,e,f,n
1451,k,a,g,e,f,n
1452,n,v,u,p,t,p
1453,n,a,g,e,f,n
1454,n,v,g,p,t,p
1455,k,a,g,e,f,n
1456,k,s,g,e,f,n
1457,n,a,g,e,f,n
1458,n,y,d,e,t,n
1459,n,s,g,e,f,n
1460,n,s,u,p,t,p
1461,n,v,d,e,t,n
1462,k,s,g,e,f,n
1463,k,s,g,e,f,n
1464,u,v,d,e,t,a
1465,n,s,g,e,f,n
1466,k,v,d,e,t,n
1467,n,y,d,e,t,n
1468,u,v,d,e,t,a
1469,k,a,g,e,f,n
1470,k,s,g,e,f,n
1471,n,y,d,e,t,n
1472,k,a,g,e,f,n
1473,k,v,u,p,t,p
1474,n,s,g,e,f,n
1475,n,a,g,e,f,n
1476,n,s,g,e,f,n
1477,k,a,g,e,f,n
1478,n,a,g,e,f,n
1479,k,s,g,p,t,p
1480,n,s,g,e,f,n
1481,n,a,g,e,f,n
1482,k,s,g,e,f,n
1483,k,s,g,e,f,n
1484,k,a,g,e,f,n
1485,k,y,g,e,t,l
1486,k,v,u,p,t,p
1487,k,a,g,e,f,n
1488,k,s,g,e,f,n
1489,n,s,g,e,f,n
1490,n,s,g,p,t,p
1491,k,s,g,e,f,n
1492,n,s,u,p,t,p
1493,k,s,g,e,f,n
1494,k,s,g,e,f,n
1495,k,a,g,e,f,n
1496,k,s,g,e,f,n
1497,n,s,g,e,f,n
1498,n,s,g,e,f,n
1499,k,a,g,e,f,n
1500,k,s,g,e,f,n
1501,n,a,g,e,f,n
1502,k,n,m,e,t,a
1503,n,s,g,e,f,n
1504,k,a,g,e,f,n
1505,n,a,g,e,f,n
1506,n,y,d,e,t,n
1507,k,s,u,p,t,p
1508,n,y,d,e,t,n
1509,n,a,g,e,f,n
1510,k,y,d,e,t,n
1511,n,a,g,e,f,n
1512,k,s,g,e,f,n
1513,k,a,g,e,f,n
1514,k,s,m,e,t,a
1515,u,v,d,e,t,a
1516,n,a,g,e,f,n
1517,n,a,g,e,f,n
1518,n,s,g,e,f,n
1519,k,s,g,e,t,a
1520,k,s,g,e,f,n
1521,n,s,g,e,t,l
1522,k,s,g,e,f,n
1523,n,a,g,e,f,n
1524,n,s,g,e,f,n
1525,n,a,g,e,f,n
1526,n,s,g,e,f,n
1527,n,y,d,e,t,n
1528,k,s,g,e,f,n
1529,k,n,m,e,t,a
1530,k,a,g,e,f,n
1531,k,s,u,p,t,p
1532,n,s,g,e,f,n
1533,n,s,u,p,t,p
1534,k,s,g,e,f,n
1535,n,s,g,e,f,n
1536,n,s,g,p,t,p
1537,k,a,g,e,f,n
1538,n,s,u,p,t,p
1539,n,s,g,e,f,n
1540,k,s,g,e,f,n
1541,n,v,g,p,t,p
1542,k,a,g,e,f,n
1543,k,a,g,e,f,n
1544,n,s,g,e,f,n
1545,k,a,g,e,f,n
1546,k,y,d,e,t,n
1547,k,s,u,p,t,p
1548,k,s,g,e,f,n
1549,k,y,g,e,t,a
1550,n,a,g,e,f,n
1551,k,a,g,e,f,n
1552,k,n,m,e,t,l
1553,k,a,g,e,f,n
1554,k,a,g,e,f,n
1555,n,a,g,e,f,n
1556,n,s,u,p,t,p
1557,n,a,g,e,f,n
1558,k,n,g,e,t,a
1559,n,a,g,e,f,n
1560,k,s,g,e,f,n
1561,n,a,g,e,f,n
1562,k,s,g,e,f,n
1563,k,a,g,e,f,n
1564,n,v,d,e,t,n
1565,n,n,m,e,t,l
1566,n,v,d,e,t,n
1567,k,s,g,p,t,p
1568,n,a,g,e,f,n
1569,k,v,u,p,t,p
1570,n,a,g,e,f,n
1571,k,a,g,e,f,n
1572,k,a,g,e,f,n
1573,n,a,g,e,f,n
1574,n,s,g,e,f,n
1575,k,s,g,e,t,l
1576,k,a,g,e,f,n
1577,k,s,g,e,f,n
1578,k,v,g,p,t,p
1579,k,a,g,e,f,n
1580,k,s,g,p,t,p
1581,k,a,g,e,f,n
1582,k,v,d,e,t,n
1583,k,s,g,e,f,n
1584,n,v,u,p,t,p
1585,k,s,g,e,f,n
1586,n,v,u,p,t,p
1587,n,v,d,e,t,n
1588,n,s,g,e,f,n
1589,n,s,p,e,t,a
1590,k,s,g,e,f,n
1591,n,a,g,e,f,n
1592,n,s,g,e,f,n
1593,k,s,g,e,f,n
1594,n,a,g,e,f,n
1595,k,s,g,e,f,n
1596,n,a,g,e,f,n
1597,n,v,d,e,t,n
1598,k,a,g,e,f,n
1599,k,s,g,e,f,n
1600,n,s,g,e,t,l
1601,k,y,d,e,t,n
1602,k,a,g,e,f,n
1603,n,s,g,e,f,n
1604,n,a,g,e,f,n
1605,k,s,g,e,f,n
1606,k,a,g,e,f,n
1607,k,a,g,e,f,n
1608,n,s,g,e,f,n
1609,n,y,d,e,t,n
1610,n,s,g,e,f,n
1611,k,a,g,e,f,n
1612,n,a,g,e,f,n
1613,k,y,u,e,f,n
1614,k,s,u,p,t,p
1615,n,v,g,p,t,p
1616,k,v,d,e,t,n
1617,n,a,g,e,f,n
1618,n,a,g,e,f,n
1619,n,s,g,e,f,n
1620,n,s,g,e,f,n
1621,k,s,g,e,f,n
1622,k,a,g,e,f,n
1623,n,s,g,e,f,n
1624,k,a,g,e,f,n
1625,k,v,d,e,t,n
1626,n,v,u,p,t,p
1627,n,s,g,e,f,n
1628,n,v,d,e,t,n
1629,n,s,u,p,t,p
1630,k,v,g,p,t,p
1631,k,s,u,p,t,p
1632,n,a,g,e,f,n
1633,n,s,g,e,f,n
1634,k,a,g,e,f,n
1635,k,a,g,e,f,n
1636,k,a,g,e,f,n
1637,n,v,g,p,t,p
1638,k,v,g,p,t,p
1639,n,a,g,e,f,n
1640,k,a,g,e,f,n
1641,n,s,g,e,f,n
1642,k,v,d,e,t,n
1643,n,v,d,e,t,n
1644,k,a,g,e,f,n
1645,n,s,g,e,f,n
1646,k,a,g,e,f,n
1647,n,n,m,e,t,l
1648,n,a,g,e,f,n
1649,n,s,g,e,f,n
1650,n,s,g,e,f,n
1651,n,a,g,e,f,n
1652,n,s,g,e,f,n
1653,k,s,g,e,f,n
1654,n,s,g,e,f,n
1655,k,s,g,e,f,n
1656,n,s,g,e,f,n
1657,k,a,g,e,f,n
1658,n,s,g,e,f,n
1659,k,s,g,e,f,n
1660,n,a,g,e,f,n
1661,k,s,g,e,f,n
1662,k,a,g,e,f,n
1663,k,n,g,e,t,a
1664,k,n,g,e,t,l
1665,k,a,g,e,f,n
1666,k,s,g,p,t,p
1667,n,s,g,e,f,n
1668,k,s,u,p,t,p
1669,n,v,d,e,t,n
1670,k,v,u,p,t,p
1671,n,s,g,e,t,l
1672,n,n,m,e,t,l
1673,n,y,p,e,t,l
1674,n,s,g,e,f,n
1675,k,s,g,e,f,n
1676,k,a,g,e,f,n
1677,k,a,g,e,f,n
1678,n,s,g,e,f,n
1679,k,a,g,e,f,n
1680,k,s,g,e,f,n
1681,n,n,g,e,t,l
1682,k,s,g,e,f,n
1683,k,s,m,e,t,l
1684,k,v,g,p,t,p
1685,k,s,g,e,f,n
1686,k,s,g,e,f,n
1687,n,s,g,e,f,n
1688,n,s,g,e,f,n
1689,n,y,d,e,t,n
1690,k,y,d,e,t,n
1691,n,y,p,e,t,a
1692,k,y,d,e,t,n
1693,n,a,g,e,f,n
1694,k,s,g,e,f,n
1695,n,a,g,e,f,n
1696,n,a,g,e,f,n
1697,k,s,g,e,f,n
1698,n,a,g,e,f,n
1699,n,a,g,e,f,n
1700,n,a,g,e,f,n
1701,k,y,d,e,t,n
1702,n,s,g,e,f,n
1703,k,s,g,e,f,n
1704,k,s,g,p,t,p
1705,k,y,d,e,t,n
1706,k,s,g,e,f,n
1707,k,s,g,e,f,n
1708,n,v,u,p,t,p
1709,k,s,g,e,f,n
1710,k,v,d,e,t,n
1711,k,a,g,e,f,n
1712,k,s,g,e,f,n
1713,n,v,d,e,t,n
1714,n,a,g,e,f,n
1715,n,a,g,e,f,n
1716,k,y,d,e,t,n
1717,k,n,g,e,t,l
1718,n,n,m,e,t,l
1719,n,s,g,e,f,n
1720,k,a,g,e,f,n
1721,k,s,g,e,f,n
1722,k,a,g,e,f,n
1723,n,a,g,e,f,n
1724,n,s,g,e,f,n
1725,n,n,m,e,t,a
1726,k,v,g,p,t,p
1727,k,a,g,e,f,n
1728,k,s,g,e,f,n
1729,k,s,g,e,t,a
1730,n,a,g,e,f,n
1731,n,a,g,e,f,n
1732,k,v,u,p,t,p
1733,k,a,g,e,f,n
1734,n,s,g,e,f,n
1735,k,v,g,p,t,p
1736,n,a,g,e,f,n
1737,k,a,g,e,f,n
1738,k,v,d,e,t,n
1739,k,s,g,e,f,n
1740,n,v,u,p,t,p
1741,k,a,g,e,f,n
1742,n,s,g,e,f,n
1743,n,s,g,e,f,n
1744,k,a,g,e,f,n
1745,n,y,g,e,t,l
1746,n,s,g,p,t,p
1747,n,a,g,e,f,n
1748,k,y,u,e,f,n
1749,n,s,u,p,t,p
1750,n,s,g,e,f,n
1751,n,s,g,e,f,n
1752,n,y,p,e,t,a
1753,n,s,g,e,f,n
1754,k,a,g,e,f,n
1755,n,s,g,p,t,p
1756,k,s,g,e,f,n
1757,n,s,g,e,f,n
1758,k,s,g,e,f,n
1759,n,v,d,e,t,n
1760,k,s,g,e,f,n
1761,k,a,g,e,f,n
1762,k,s,g,e,f,n
1763,n,s,g,e,f,n
1764,k,y,d,e,t,n
1765,n,s,g,e,f,n
1766,n,s,u,p,t,p
1767,n,a,g,e,f,n
1768,n,s,g,e,f,n
1769,k,v,d,e,t,n
1770,n,y,g,e,t,a
1771,k,a,g,e,f,n
1772,k,a,g,e,f,n
1773,k,a,g,e,f,n
1774,n,s,g,e,t,a
1775,k,y,d,e,t,n
1776,k,a,g,e,f,n
1777,k,a,g,e,f,n
1778,n,s,u,p,t,p
1779,k,v,u,p,t,p
1780,k,a,g,e,f,n
1781,n,v,u,e,f,n
1782,k,s,g,e,f,n
1783,k,a,g,e,f,n
1784,k,s,g,p,t,p
1785,n,s,g,e,t,a
1786,k,a,g,e,f,n
1787,k,s,u,p,t,p
1788,k,a,g,e,f,n
1789,n,s,g,e,f,n
1790,k,s,g,e,f,n
1791,n,v,u,p,t,p
1792,k,a,g,e,f,n
1793,n,a,g,e,f,n
1794,n,s,g,e,f,n
1795,n,a,g,e,f,n
1796,k,v,g,p,t,p
1797,n,s,g,e,f,n
1798,n,a,g,e,f,n
1799,k,v,u,p,t,p
1800,k,a,g,e,f,n
1801,n,v,d,e,t,n
1802,n,a,g,e,f,n
1803,k,v,d,e,t,n
1804,n,v,d,e,t,n
1805,n,y,d,e,t,n
1806,k,v,d,e,t,n
1807,n,s,g,e,f,n
1808,n,y,d,e,t,n
1809,k,y,d,e,t,n
1810,n,s,g,e,f,n
1811,n,s,g,p,t,p
1812,k,v,d,e,t,n
1813,k,v,g,p,t,p
1814,n,s,g,e,t,a
1815,k,a,g,e,f,n
1816,n,s,g,e,t,a
1817,h,y,g,p,f,f
1818,n,a,g,e,f,n
1819,n,s,g,e,f,n
1820,k,v,d,e,t,n
1821,k,s,g,e,f,n
1822,k,s,g,e,f,n
1823,k,v,u,p,t,p
1824,n,y,d,e,t,n
1825,n,n,g,e,t,l
1826,k,s,g,e,f,n
1827,n,v,d,e,t,n
1828,k,s,g,e,f,n
1829,n,a,g,e,f,n
1830,k,v,d,e,t,n
1831,n,y,d,e,t,n
1832,k,v,d,e,t,n
1833,n,a,g,e,f,n
1834,k,v,d,e,t,n
1835,n,v,d,e,t,n
1836,n,v,d,e,t,n
1837,n,y,d,e,t,n
1838,n,s,g,e,f,n
1839,k,y,d,e,t,n
1840,k,s,g,e,f,n
1841,k,a,g,e,f,n
1842,n,a,g,e,f,n
1843,k,v,d,e,t,n
1844,n,s,u,p,t,p
1845,k,v,d,e,t,n
1846,k,s,g,e,f,n
1847,n,a,g,e,f,n
1848,n,v,d,e,t,n
1849,k,v,d,e,t,n
1850,k,v,d,e,t,n
1851,k,v,d,e,t,n
1852,n,a,g,e,f,n
1853,n,v,d,e,t,n
1854,k,v,d,e,t,n
1855,k,y,d,e,t,n
1856,n,y,d,e,t,n
1857,n,v,d,e,t,a
1858,n,v,d,e,t,n
1859,n,v,g,p,t,p
1860,k,s,g,e,f,n
1861,n,y,d,e,t,n
1862,k,v,d,e,t,n
1863,k,a,g,e,f,n
1864,n,y,d,e,t,n
1865,n,s,g,e,f,n
1866,n,y,d,e,t,n
1867,n,v,d,e,t,n
1868,k,a,g,e,f,n
1869,k,a,g,e,f,n
1870,k,s,g,e,f,n
1871,k,s,g,e,f,n
1872,n,y,d,e,t,n
1873,k,a,g,e,f,n
1874,k,a,g,e,f,n
1875,n,v,d,e,t,n
1876,n,y,d,e,t,n
1877,n,v,d,e,t,n
1878,k,y,d,e,t,n
1879,n,s,g,e,f,n
1880,k,a,g,e,f,n
1881,k,a,g,e,f,n
1882,n,a,g,e,f,n
1883,n,v,d,e,t,n
1884,n,y,d,e,t,n
1885,k,v,d,e,t,n
1886,n,v,d,e,t,l
1887,k,a,g,e,f,n
1888,k,s,g,p,t,p
1889,k,v,d,e,t,n
1890,n,v,d,e,t,n
1891,n,a,g,e,f,n
1892,n,a,g,e,f,n
1893,n,a,g,e,f,n
1894,n,a,g,e,f,n
1895,n,a,g,e,f,n
1896,n,v,d,e,t,n
1897,n,y,d,e,t,n
1898,n,s,g,e,f,n
1899,k,a,g,e,f,n
1900,n,s,g,e,f,n
1901,k,y,d,e,t,n
1902,n,a,g,e,f,n
1903,n,a,g,e,f,n
1904,k,s,g,e,f,n
1905,n,s,g,e,f,n
1906,n,a,g,e,f,n
1907,k,a,g,e,f,n
1908,n,v,d,e,t,n
1909,k,a,g,e,f,n
1910,n,s,g,e,f,n
1911,k,v,d,e,t,n
1912,k,v,d,e,t,n
1913,k,v,d,e,t,n
1914,k,s,g,e,f,n
1915,n,a,g,e,f,n
1916,n,y,g,e,t,l
1917,k,v,u,p,t,p
1918,k,a,g,e,f,n
1919,k,s,g,e,f,n
1920,k,v,d,e,t,n
1921,k,y,d,e,t,n
1922,n,a,g,e,f,n
1923,k,s,g,e,f,n
1924,n,s,g,e,f,n
1925,n,v,d,e,t,n
1926,k,v,d,e,t,n
