ID, stalk root, stalk surface above ring, stalk surface below ring, stalk color above ring, stalk color below ring, stalk shape
994,e,s,s,w,w,e
995,e,s,f,w,w,t
996,e,f,f,w,w,t
997,c,s,s,w,w,e
998,b,s,s,w,w,t
999,c,s,s,w,w,e
1000,e,s,s,w,w,e
1001,b,s,s,p,p,t
1002,r,s,y,w,w,e
1003,e,s,s,w,w,t
1004,e,s,s,w,w,e
1005,r,s,y,w,w,e
1006,e,s,f,w,w,t
1007,e,f,s,w,w,t
1008,e,f,s,w,w,t
1009,e,s,s,w,w,t
1010,c,s,s,w,w,e
1011,c,s,s,w,w,e
1012,e,s,s,w,w,t
1013,r,s,y,w,w,e
1014,e,s,f,w,w,t
1015,e,f,f,w,w,t
1016,b,s,s,w,w,t
1017,r,s,y,w,w,e
1018,b,s,s,p,w,t
1019,e,s,s,w,w,e
1020,b,s,s,w,p,t
1021,e,f,f,w,w,t
1022,c,s,s,w,w,e
1023,c,s,s,w,w,e
1024,c,s,s,w,w,e
1025,e,s,s,w,w,e
1026,e,s,s,w,w,e
1027,e,s,s,w,w,e
1028,b,s,s,w,w,t
1029,c,s,s,w,w,e
1030,e,s,s,w,w,t
1031,b,s,s,g,g,t
1032,e,s,s,w,w,e
1033,e,s,f,w,w,t
1034,e,s,f,w,w,t
1035,e,s,s,w,w,t
1036,e,f,f,w,w,t
1037,c,s,s,w,w,e
1038,b,s,s,w,w,t
1039,e,s,s,w,w,e
1040,e,s,s,w,w,e
1041,r,s,y,w,w,e
1042,r,s,y,w,w,e
1043,e,s,s,w,w,t
1044,b,s,s,g,g,t
1045,e,f,f,w,w,t
1046,c,s,s,w,w,e
1047,e,s,f,w,w,t
1048,e,s,s,w,w,e
1049,b,s,s,g,w,t
1050,e,f,f,w,w,t
1051,b,s,s,w,w,t
1052,b,s,s,g,g,t
1053,e,s,f,w,w,t
1054,r,s,y,w,w,e
1055,e,f,s,w,w,t
1056,c,s,s,w,w,e
1057,b,s,s,w,w,t
1058,e,s,f,w,w,t
1059,c,s,s,w,w,e
1060,e,s,s,w,w,t
1061,e,s,f,w,w,t
1062,b,s,s,w,w,t
1063,e,f,s,w,w,t
1064,e,f,f,w,w,t
1065,e,s,s,w,w,e
1066,b,s,s,w,w,t
1067,c,s,s,w,w,e
1068,e,f,s,w,w,t
1069,b,s,s,g,g,t
1070,r,s,y,w,w,e
1071,e,s,f,w,w,t
1072,e,s,s,w,w,e
1073,c,s,s,w,w,e
1074,b,s,s,p,w,t
1075,r,s,y,w,w,e
1076,e,f,s,w,w,t
1077,e,s,s,w,w,e
1078,e,s,s,w,w,e
1079,e,f,s,w,w,t
1080,r,s,y,w,w,e
1081,e,s,s,w,w,t
1082,e,s,s,w,w,e
1083,c,s,s,w,w,e
1084,e,f,f,w,w,t
1085,c,s,s,w,w,e
1086,e,s,f,w,w,t
1087,c,s,s,w,w,e
1088,c,s,s,w,w,e
1089,e,s,s,w,w,e
1090,c,s,s,w,w,e
1091,e,s,s,w,w,e
1092,r,s,y,w,w,e
1093,e,s,f,w,w,t
1094,b,s,s,w,w,t
1095,e,f,f,w,w,t
1096,e,s,s,w,w,e
1097,e,s,s,w,w,t
1098,e,f,s,w,w,t
1099,e,f,s,w,w,t
1100,e,s,s,w,w,e
1101,e,f,f,w,w,t
1102,e,f,s,w,w,t
1103,e,s,s,w,w,t
1104,e,s,s,w,w,e
1105,e,s,f,w,w,t
1106,e,f,s,w,w,t
1107,e,s,s,w,w,e
1108,e,s,f,w,w,t
1109,c,s,s,w,w,e
1110,e,f,f,w,w,t
1111,e,f,s,w,w,t
1112,e,s,s,w,w,e
1113,r,s,y,w,w,e
1114,e,f,s,w,w,t
1115,r,s,y,w,w,e
1116,e,s,s,w,w,t
1117,e,f,f,w,w,t
1118,e,f,f,w,w,t
1119,e,f,s,w,w,t
1120,e,s,s,w,w,t
1121,e,f,s,w,w,t
1122,e,s,f,w,w,t
1123,e,f,f,w,w,t
1124,b,s,s,p,p,t
1125,b,s,s,w,w,t
1126,e,s,s,w,w,t
1127,e,s,s,w,w,t
1128,c,s,s,w,w,e
1129,e,s,f,w,w,t
1130,e,s,f,w,w,t
1131,e,s,s,w,w,e
1132,e,f,s,w,w,t
1133,e,s,s,w,w,e
1134,e,f,f,w,w,t
1135,c,s,s,w,w,e
1136,e,s,s,w,w,t
1137,b,s,s,w,p,t
1138,c,s,s,w,w,e
1139,e,s,s,w,w,t
1140,e,f,s,w,w,t
1141,e,s,s,w,w,t
1142,b,s,s,w,p,t
1143,e,s,f,w,w,t
1144,e,s,f,w,w,t
1145,e,f,f,w,w,t
1146,e,f,s,w,w,t
1147,e,f,s,w,w,t
1148,e,s,s,w,w,t
1149,e,f,f,w,w,t
1150,e,f,s,w,w,t
1151,e,f,f,w,w,t
1152,r,s,y,w,w,e
1153,e,s,s,w,w,e
1154,e,f,s,w,w,t
1155,e,s,s,w,w,e
1156,c,s,s,w,w,e
1157,e,s,s,w,w,t
1158,e,s,f,w,w,t
1159,e,s,f,w,w,t
1160,e,f,f,w,w,t
1161,c,s,s,w,w,e
1162,e,f,s,w,w,t
1163,b,s,s,w,w,t
1164,r,s,y,w,w,e
1165,e,f,f,w,w,t
1166,c,s,s,w,w,e
1167,e,s,s,w,w,e
1168,b,s,s,p,p,t
1169,e,s,s,w,w,t
1170,c,s,s,w,w,e
1171,e,f,s,w,w,t
1172,b,s,s,p,g,t
1173,e,f,f,w,w,t
1174,e,s,s,w,w,e
1175,e,s,s,w,w,e
1176,e,s,s,w,w,e
1177,c,s,s,w,w,e
1178,e,s,s,w,w,e
1179,e,s,f,w,w,t
1180,r,s,y,w,w,e
1181,r,s,y,w,w,e
1182,r,s,y,w,w,e
1183,e,f,s,w,w,t
1184,c,s,s,w,w,e
1185,c,s,s,w,w,e
1186,e,f,f,w,w,t
1187,e,s,s,w,w,t
1188,e,s,s,w,w,e
1189,c,s,s,w,w,e
1190,e,s,s,w,w,t
1191,e,f,f,w,w,t
1192,c,s,s,w,w,e
1193,b,s,s,g,p,t
1194,r,s,y,w,w,e
1195,c,s,s,w,w,e
1196,e,s,s,w,w,e
1197,e,f,s,w,w,t
1198,c,s,s,w,w,e
1199,c,s,s,w,w,e
1200,c,s,s,w,w,e
1201,c,s,s,w,w,e
1202,c,s,s,w,w,e
1203,c,s,s,w,w,e
1204,e,s,s,w,w,t
1205,e,s,s,w,w,e
1206,e,s,s,w,w,t
1207,e,s,s,w,w,t
1208,e,s,s,w,w,e
1209,e,f,s,w,w,t
1210,e,s,s,w,w,t
1211,e,s,f,w,w,t
1212,e,s,s,w,w,t
1213,r,s,y,w,w,e
1214,e,f,f,w,w,t
1215,e,s,s,w,w,t
1216,e,s,s,w,w,e
1217,e,f,f,w,w,t
1218,e,f,s,w,w,t
1219,e,f,f,w,w,t
1220,e,f,f,w,w,t
1221,r,s,y,w,w,e
1222,e,f,f,w,w,t
1223,e,f,f,w,w,t
1224,e,f,f,w,w,t
1225,e,f,s,w,w,t
1226,e,s,s,w,w,t
1227,b,s,s,g,p,t
1228,e,s,s,w,w,t
1229,e,s,s,w,w,e
1230,b,s,s,p,g,t
1231,e,s,f,w,w,t
1232,e,s,s,w,w,e
1233,e,f,s,w,w,t
1234,e,f,f,w,w,t
1235,e,s,f,w,w,t
1236,e,s,f,w,w,t
1237,e,f,s,w,w,t
1238,e,s,f,w,w,t
1239,e,s,f,w,w,t
1240,e,s,f,w,w,t
1241,e,s,s,w,w,e
1242,e,f,f,w,w,t
1243,e,s,s,w,w,e
1244,e,s,s,w,w,e
1245,e,s,f,w,w,t
1246,e,s,s,w,w,t
1247,e,s,s,w,w,t
1248,e,s,s,w,w,t
1249,e,f,s,w,w,t
1250,e,f,s,w,w,t
1251,b,s,s,g,p,t
1252,b,s,s,w,w,t
1253,e,s,f,w,w,t
1254,e,s,s,w,w,e
1255,e,s,s,w,w,e
1256,e,f,s,w,w,t
1257,e,s,s,w,w,e
1258,e,s,f,w,w,t
1259,e,f,s,w,w,t
1260,e,s,s,w,w,e
1261,e,s,s,w,w,e
1262,e,s,s,w,w,e
1263,e,s,s,w,w,e
1264,e,f,f,w,w,t
1265,b,s,s,g,p,t
1266,e,f,f,w,w,t
1267,e,f,s,w,w,t
1268,e,s,s,w,w,e
1269,e,f,f,w,w,t
1270,b,s,s,p,w,t
1271,e,f,s,w,w,t
1272,e,f,f,w,w,t
1273,e,s,s,w,w,e
1274,e,f,s,w,w,t
1275,e,s,s,w,w,t
1276,e,s,s,w,w,e
1277,e,s,f,w,w,t
1278,e,s,s,w,w,t
1279,e,s,s,w,w,t
1280,e,f,s,w,w,t
1281,c,s,s,w,w,e
1282,e,s,s,w,w,t
1283,e,s,f,w,w,t
1284,e,f,s,w,w,t
1285,e,f,s,w,w,t
1286,e,f,f,w,w,t
1287,e,s,s,w,w,e
1288,e,f,s,w,w,t
1289,b,s,s,w,g,t
1290,e,s,f,w,w,t
1291,b,s,s,g,g,t
1292,e,f,s,w,w,t
1293,e,s,f,w,w,t
1294,e,s,s,w,w,e
1295,e,s,s,w,w,e
1296,e,f,s,w,w,t
1297,b,s,s,g,p,t
1298,e,s,f,w,w,t
1299,r,s,y,w,w,e
1300,e,s,s,w,w,t
1301,e,s,s,w,w,t
1302,e,f,s,w,w,t
1303,e,s,f,w,w,t
1304,b,s,s,w,w,t
1305,e,s,f,w,w,t
1306,e,s,s,w,w,t
1307,e,f,s,w,w,t
1308,e,s,f,w,w,t
1309,e,s,s,w,w,t
1310,e,s,s,w,w,t
1311,e,f,f,w,w,t
1312,e,s,f,w,w,t
1313,e,s,s,w,w,e
1314,e,f,s,w,w,t
1315,c,s,s,w,w,e
1316,e,f,f,w,w,t
1317,e,s,s,w,w,t
1318,b,s,s,w,g,t
1319,c,s,s,w,w,e
1320,e,s,s,w,w,t
1321,b,s,s,w,p,t
1322,e,s,s,w,w,e
1323,e,f,s,w,w,t
1324,e,s,s,w,w,e
1325,e,f,s,w,w,t
1326,e,s,f,w,w,t
1327,c,s,s,w,w,e
1328,e,f,f,w,w,t
1329,e,s,f,w,w,t
1330,e,f,f,w,w,t
1331,e,s,s,w,w,t
1332,e,s,s,w,w,t
1333,e,s,s,w,w,e
1334,e,s,f,w,w,t
1335,e,s,s,w,w,t
1336,b,s,s,p,g,t
1337,e,s,f,w,w,t
1338,b,s,s,w,p,t
1339,c,s,s,w,w,e
1340,e,f,s,w,w,t
1341,e,s,f,w,w,t
1342,e,f,s,w,w,t
1343,e,s,s,w,w,e
1344,b,s,s,w,g,t
1345,e,s,s,w,w,t
1346,e,s,f,w,w,t
1347,e,s,s,w,w,e
1348,e,f,f,w,w,t
1349,b,s,s,g,w,t
1350,b,s,s,w,p,t
1351,b,s,s,w,g,t
1352,e,f,f,w,w,t
1353,e,f,f,w,w,t
1354,e,s,f,w,w,t
1355,e,f,f,w,w,t
1356,e,f,f,w,w,t
1357,e,f,f,w,w,t
1358,e,s,s,w,w,t
1359,e,f,s,w,w,t
1360,e,f,s,w,w,t
1361,e,f,s,w,w,t
1362,e,s,s,w,w,e
1363,e,s,s,w,w,t
1364,e,s,f,w,w,t
1365,e,s,f,w,w,t
1366,e,f,f,w,w,t
1367,e,s,f,w,w,t
1368,e,s,s,w,w,t
1369,b,s,s,g,g,t
1370,e,f,s,w,w,t
1371,e,f,f,w,w,t
1372,e,s,s,w,w,t
1373,e,s,f,w,w,t
1374,c,s,s,w,w,e
1375,e,s,s,w,w,e
1376,e,s,s,w,w,e
1377,e,s,f,w,w,t
1378,e,s,s,w,w,t
1379,e,s,s,w,w,e
1380,e,s,f,w,w,t
1381,e,s,s,w,w,e
1382,e,s,s,w,w,t
1383,e,s,s,w,w,e
1384,e,f,s,w,w,t
1385,e,f,f,w,w,t
1386,e,s,f,w,w,t
1387,e,s,s,w,w,t
1388,b,s,s,w,p,t
1389,b,s,s,g,p,t
1390,e,s,f,w,w,t
1391,b,s,s,g,w,t
1392,e,s,s,w,w,t
1393,e,f,f,w,w,t
1394,e,f,s,w,w,t
1395,e,s,f,w,w,t
1396,b,s,s,w,p,t
1397,e,s,f,w,w,t
1398,e,f,s,w,w,t
1399,e,s,f,w,w,t
1400,e,s,s,w,w,e
1401,e,s,f,w,w,t
1402,r,s,y,w,w,e
1403,b,s,s,g,p,t
1404,e,s,s,w,w,t
1405,e,f,s,w,w,t
1406,e,s,s,w,w,e
1407,e,f,f,w,w,t
1408,e,s,s,w,w,t
1409,e,s,s,w,w,t
1410,e,s,s,w,w,t
1411,e,f,f,w,w,t
1412,e,s,f,w,w,t
1413,e,f,f,w,w,t
1414,e,s,f,w,w,t
1415,e,f,s,w,w,t
1416,e,s,f,w,w,t
1417,c,s,s,w,w,e
1418,e,f,s,w,w,t
1419,e,f,f,w,w,t
1420,e,f,s,w,w,t
1421,e,s,s,w,w,e
1422,e,s,f,w,w,t
1423,b,s,s,g,p,t
1424,e,s,s,w,w,t
1425,e,s,f,w,w,t
1426,e,s,s,w,w,t
1427,e,s,s,w,w,t
1428,e,f,f,w,w,t
1429,r,s,y,w,w,e
1430,e,s,s,w,w,e
1431,e,s,f,w,w,t
1432,b,s,s,w,w,t
1433,e,s,s,w,w,e
1434,e,s,s,w,w,e
1435,e,s,s,w,w,e
1436,b,s,s,g,p,t
1437,c,s,s,w,w,e
1438,e,s,s,w,w,e
1439,e,s,f,w,w,t
1440,e,f,s,w,w,t
1441,b,s,s,g,p,t
1442,e,f,s,w,w,t
1443,e,s,s,w,w,t
1444,e,f,f,w,w,t
1445,e,s,s,w,w,e
1446,e,s,s,w,w,e
1447,e,s,f,w,w,t
1448,e,f,f,w,w,t
1449,b,s,s,p,g,t
1450,e,f,s,w,w,t
1451,e,f,s,w,w,t
1452,e,s,s,w,w,e
1453,e,f,f,w,w,t
1454,e,s,s,w,w,e
1455,e,f,f,w,w,t
1456,e,f,f,w,w,t
1457,e,s,s,w,w,t
1458,b,s,s,p,p,t
1459,e,f,s,w,w,t
1460,e,s,s,w,w,e
1461,b,s,s,w,g,t
1462,e,f,f,w,w,t
1463,e,f,s,w,w,t
1464,b,s,s,w,w,t
1465,e,f,f,w,w,t
1466,b,s,s,g,w,t
1467,b,s,s,g,g,t
1468,b,s,s,w,w,t
1469,e,s,s,w,w,t
1470,e,s,s,w,w,t
1471,b,s,s,g,w,t
1472,e,f,f,w,w,t
1473,e,s,s,w,w,e
1474,e,s,f,w,w,t
1475,e,s,s,w,w,t
1476,e,s,f,w,w,t
1477,e,f,f,w,w,t
1478,e,f,f,w,w,t
1479,e,s,s,w,w,e
1480,e,f,s,w,w,t
1481,e,f,f,w,w,t
1482,e,f,s,w,w,t
1483,e,s,s,w,w,t
1484,e,s,s,w,w,t
1485,r,s,y,w,w,e
1486,e,s,s,w,w,e
1487,e,s,f,w,w,t
1488,e,f,f,w,w,t
1489,e,s,f,w,w,t
1490,e,s,s,w,w,e
1491,e,f,s,w,w,t
1492,e,s,s,w,w,e
1493,e,f,s,w,w,t
1494,e,f,s,w,w,t
1495,e,s,s,w,w,t
1496,e,s,s,w,w,t
1497,e,s,f,w,w,t
1498,e,s,f,w,w,t
1499,e,s,f,w,w,t
1500,e,s,f,w,w,t
1501,e,s,s,w,w,t
1502,c,s,s,w,w,e
1503,e,s,f,w,w,t
1504,e,s,s,w,w,t
1505,e,f,f,w,w,t
1506,b,s,s,p,p,t
1507,e,s,s,w,w,e
1508,b,s,s,p,g,t
1509,e,f,f,w,w,t
1510,b,s,s,w,p,t
1511,e,f,s,w,w,t
1512,e,s,s,w,w,t
1513,e,s,s,w,w,t
1514,c,s,s,w,w,e
1515,b,s,s,w,w,t
1516,e,f,f,w,w,t
1517,e,s,f,w,w,t
1518,e,s,f,w,w,t
1519,c,s,s,w,w,e
1520,e,f,f,w,w,t
1521,c,s,s,w,w,e
1522,e,s,f,w,w,t
1523,e,s,s,w,w,t
1524,e,f,f,w,w,t
1525,e,s,f,w,w,t
1526,e,f,f,w,w,t
1527,b,s,s,w,w,t
1528,e,f,f,w,w,t
1529,c,s,s,w,w,e
1530,e,f,f,w,w,t
1531,e,s,s,w,w,e
1532,e,s,s,w,w,t
1533,e,s,s,w,w,e
1534,e,s,s,w,w,t
1535,e,f,f,w,w,t
1536,e,s,s,w,w,e
1537,e,f,f,w,w,t
1538,e,s,s,w,w,e
1539,e,f,f,w,w,t
1540,e,s,s,w,w,t
1541,e,s,s,w,w,e
1542,e,s,s,w,w,t
1543,e,s,s,w,w,t
1544,e,f,f,w,w,t
1545,e,f,s,w,w,t
1546,b,s,s,g,g,t
1547,e,s,s,w,w,e
1548,e,f,s,w,w,t
1549,r,s,y,w,w,e
1550,e,s,s,w,w,t
1551,e,f,f,w,w,t
1552,c,s,s,w,w,e
1553,e,s,f,w,w,t
1554,e,f,f,w,w,t
1555,e,s,s,w,w,t
1556,e,s,s,w,w,e
1557,e,s,f,w,w,t
1558,c,s,s,w,w,e
1559,e,s,f,w,w,t
1560,e,s,f,w,w,t
1561,e,f,s,w,w,t
1562,e,s,f,w,w,t
1563,e,f,s,w,w,t
1564,b,s,s,p,g,t
1565,c,s,s,w,w,e
1566,b,s,s,g,w,t
1567,e,s,s,w,w,e
1568,e,s,s,w,w,t
1569,e,s,s,w,w,e
1570,e,s,f,w,w,t
1571,e,s,f,w,w,t
1572,e,s,f,w,w,t
1573,e,f,s,w,w,t
1574,e,f,f,w,w,t
1575,c,s,s,w,w,e
1576,e,s,f,w,w,t
1577,e,f,s,w,w,t
1578,e,s,s,w,w,e
1579,e,s,f,w,w,t
1580,e,s,s,w,w,e
1581,e,s,s,w,w,t
1582,b,s,s,p,w,t
1583,e,s,f,w,w,t
1584,e,s,s,w,w,e
1585,e,s,f,w,w,t
1586,e,s,s,w,w,e
1587,b,s,s,g,g,t
1588,e,f,s,w,w,t
1589,r,s,y,w,w,e
1590,e,f,f,w,w,t
1591,e,s,f,w,w,t
1592,e,f,s,w,w,t
1593,e,f,f,w,w,t
1594,e,s,f,w,w,t
1595,e,f,f,w,w,t
1596,e,f,f,w,w,t
1597,b,s,s,w,w,t
1598,e,f,s,w,w,t
1599,e,f,s,w,w,t
1600,r,s,y,w,w,e
1601,b,s,s,p,g,t
1602,e,f,f,w,w,t
1603,e,s,f,w,w,t
1604,e,f,f,w,w,t
1605,e,s,s,w,w,t
1606,e,s,f,w,w,t
1607,e,s,s,w,w,t
1608,e,s,s,w,w,t
1609,b,s,s,w,w,t
1610,e,f,f,w,w,t
1611,e,f,s,w,w,t
1612,e,f,f,w,w,t
1613,e,s,s,w,w,e
1614,e,s,s,w,w,e
1615,e,s,s,w,w,e
1616,b,s,s,w,g,t
1617,e,f,s,w,w,t
1618,e,s,s,w,w,t
1619,e,s,s,w,w,t
1620,e,f,f,w,w,t
1621,e,s,s,w,w,t
1622,e,f,f,w,w,t
1623,e,s,f,w,w,t
1624,e,s,f,w,w,t
1625,b,s,s,p,p,t
1626,e,s,s,w,w,e
1627,e,f,s,w,w,t
1628,b,s,s,w,g,t
1629,e,s,s,w,w,e
1630,e,s,s,w,w,e
1631,e,s,s,w,w,e
1632,e,s,f,w,w,t
1633,e,f,s,w,w,t
1634,e,f,f,w,w,t
1635,e,s,f,w,w,t
1636,e,s,f,w,w,t
1637,e,s,s,w,w,e
1638,e,s,s,w,w,e
1639,e,f,f,w,w,t
1640,e,f,s,w,w,t
1641,e,f,f,w,w,t
1642,b,s,s,w,g,t
1643,b,s,s,g,w,t
1644,e,f,s,w,w,t
1645,e,f,s,w,w,t
1646,e,f,f,w,w,t
1647,c,s,s,w,w,e
1648,e,f,f,w,w,t
1649,e,s,f,w,w,t
1650,e,s,s,w,w,t
1651,e,f,s,w,w,t
1652,e,s,s,w,w,t
1653,e,f,f,w,w,t
1654,e,f,s,w,w,t
1655,e,s,f,w,w,t
1656,e,s,s,w,w,t
1657,e,f,f,w,w,t
1658,e,s,s,w,w,t
1659,e,s,s,w,w,t
1660,e,s,s,w,w,t
1661,e,f,s,w,w,t
1662,e,s,f,w,w,t
1663,c,s,s,w,w,e
1664,c,s,s,w,w,e
1665,e,s,f,w,w,t
1666,e,s,s,w,w,e
1667,e,s,f,w,w,t
1668,e,s,s,w,w,e
1669,b,s,s,p,g,t
1670,e,s,s,w,w,e
1671,c,s,s,w,w,e
1672,c,s,s,w,w,e
1673,r,s,y,w,w,e
1674,e,s,f,w,w,t
1675,e,f,s,w,w,t
1676,e,s,s,w,w,t
1677,e,f,s,w,w,t
1678,e,f,f,w,w,t
1679,e,s,s,w,w,t
1680,e,f,f,w,w,t
1681,c,s,s,w,w,e
1682,e,s,s,w,w,t
1683,c,s,s,w,w,e
1684,e,s,s,w,w,e
1685,e,f,f,w,w,t
1686,e,f,f,w,w,t
1687,e,s,s,w,w,t
1688,e,f,s,w,w,t
1689,b,s,s,g,w,t
1690,b,s,s,g,g,t
1691,r,s,y,w,w,e
1692,b,s,s,p,p,t
1693,e,f,f,w,w,t
1694,e,f,s,w,w,t
1695,e,s,f,w,w,t
1696,e,f,s,w,w,t
1697,e,f,f,w,w,t
1698,e,f,s,w,w,t
1699,e,s,s,w,w,t
1700,e,s,f,w,w,t
1701,b,s,s,w,g,t
1702,e,s,s,w,w,t
1703,e,f,s,w,w,t
1704,e,s,s,w,w,e
1705,b,s,s,p,w,t
1706,e,f,f,w,w,t
1707,e,s,f,w,w,t
1708,e,s,s,w,w,e
1709,e,s,s,w,w,t
1710,b,s,s,w,w,t
1711,e,f,f,w,w,t
1712,e,f,f,w,w,t
1713,b,s,s,g,p,t
1714,e,s,f,w,w,t
1715,e,s,f,w,w,t
1716,b,s,s,p,p,t
1717,c,s,s,w,w,e
1718,c,s,s,w,w,e
1719,e,f,s,w,w,t
1720,e,s,s,w,w,t
1721,e,f,f,w,w,t
1722,e,f,s,w,w,t
1723,e,s,f,w,w,t
1724,e,s,f,w,w,t
1725,c,s,s,w,w,e
1726,e,s,s,w,w,e
1727,e,s,f,w,w,t
1728,e,f,s,w,w,t
1729,r,s,y,w,w,e
1730,e,f,f,w,w,t
1731,e,f,s,w,w,t
1732,e,s,s,w,w,e
1733,e,f,f,w,w,t
1734,e,f,s,w,w,t
1735,e,s,s,w,w,e
1736,e,s,s,w,w,t
1737,e,f,s,w,w,t
1738,b,s,s,g,p,t
1739,e,f,s,w,w,t
1740,e,s,s,w,w,e
1741,e,s,f,w,w,t
1742,e,s,s,w,w,t
1743,e,f,f,w,w,t
1744,e,f,f,w,w,t
1745,r,s,y,w,w,e
1746,e,s,s,w,w,e
1747,e,s,s,w,w,t
1748,e,s,s,w,w,e
1749,e,s,s,w,w,e
1750,e,s,f,w,w,t
1751,e,f,f,w,w,t
1752,r,s,y,w,w,e
1753,e,f,f,w,w,t
1754,e,f,f,w,w,t
1755,e,s,s,w,w,e
1756,e,f,s,w,w,t
1757,e,s,s,w,w,t
1758,e,s,s,w,w,t
1759,b,s,s,p,p,t
1760,e,f,f,w,w,t
1761,e,f,s,w,w,t
1762,e,f,f,w,w,t
1763,e,s,s,w,w,t
1764,b,s,s,w,w,t
1765,e,f,f,w,w,t
1766,e,s,s,w,w,e
1767,e,s,f,w,w,t
1768,e,s,s,w,w,t
1769,b,s,s,w,g,t
1770,r,s,y,w,w,e
1771,e,f,f,w,w,t
1772,e,f,s,w,w,t
1773,e,s,s,w,w,t
1774,c,s,s,w,w,e
1775,b,s,s,g,w,t
1776,e,s,s,w,w,t
1777,e,f,s,w,w,t
1778,e,s,s,w,w,e
1779,e,s,s,w,w,e
1780,e,s,s,w,w,t
1781,e,s,s,w,w,e
1782,e,f,f,w,w,t
1783,e,f,s,w,w,t
1784,e,s,s,w,w,e
1785,c,s,s,w,w,e
1786,e,f,f,w,w,t
1787,e,s,s,w,w,e
1788,e,f,f,w,w,t
1789,e,s,f,w,w,t
1790,e,f,s,w,w,t
1791,e,s,s,w,w,e
1792,e,f,f,w,w,t
1793,e,f,s,w,w,t
1794,e,s,s,w,w,t
1795,e,f,f,w,w,t
1796,e,s,s,w,w,e
1797,e,s,f,w,w,t
1798,e,f,s,w,w,t
1799,e,s,s,w,w,e
1800,e,s,f,w,w,t
1801,b,s,s,w,g,t
1802,e,s,f,w,w,t
1803,b,s,s,w,p,t
1804,b,s,s,p,w,t
1805,b,s,s,p,g,t
1806,b,s,s,p,p,t
1807,e,f,s,w,w,t
1808,b,s,s,p,p,t
1809,b,s,s,g,p,t
1810,e,f,s,w,w,t
1811,e,s,s,w,w,e
1812,b,s,s,g,w,t
1813,e,s,s,w,w,e
1814,c,s,s,w,w,e
1815,e,s,s,w,w,t
1816,c,s,s,w,w,e
1817,b,k,k,n,b,e
1818,e,f,s,w,w,t
1819,e,f,f,w,w,t
1820,b,s,s,g,g,t
1821,e,s,s,w,w,t
1822,e,s,f,w,w,t
1823,e,s,s,w,w,e
1824,b,s,s,p,g,t
1825,c,s,s,w,w,e
1826,e,f,s,w,w,t
1827,b,s,s,w,g,t
1828,e,s,s,w,w,t
1829,e,f,s,w,w,t
1830,b,s,s,w,p,t
1831,b,s,s,w,g,t
1832,b,s,s,g,w,t
1833,e,f,s,w,w,t
1834,b,s,s,p,w,t
1835,b,s,s,g,g,t
1836,b,s,s,g,w,t
1837,b,s,s,p,g,t
1838,e,f,f,w,w,t
1839,b,s,s,p,w,t
1840,e,s,f,w,w,t
1841,e,f,s,w,w,t
1842,e,s,s,w,w,t
1843,b,s,s,w,p,t
1844,e,s,s,w,w,e
1845,b,s,s,p,g,t
1846,e,s,f,w,w,t
1847,e,f,s,w,w,t
1848,b,s,s,g,p,t
1849,b,s,s,p,w,t
1850,b,s,s,g,w,t
1851,b,s,s,w,p,t
1852,e,f,s,w,w,t
1853,b,s,s,w,g,t
1854,b,s,s,w,p,t
1855,b,s,s,w,w,t
1856,b,s,s,p,w,t
1857,b,s,s,w,w,t
1858,b,s,s,g,g,t
1859,e,s,s,w,w,e
1860,e,f,f,w,w,t
1861,b,s,s,g,g,t
1862,b,s,s,p,p,t
1863,e,f,s,w,w,t
1864,b,s,s,p,w,t
1865,e,s,s,w,w,t
1866,b,s,s,p,g,t
1867,b,s,s,p,w,t
1868,e,f,s,w,w,t
1869,e,s,f,w,w,t
1870,e,s,s,w,w,t
1871,e,s,f,w,w,t
1872,b,s,s,p,g,t
1873,e,s,f,w,w,t
1874,e,s,s,w,w,t
1875,b,s,s,g,g,t
1876,b,s,s,p,w,t
1877,b,s,s,w,w,t
1878,b,s,s,w,g,t
1879,e,s,s,w,w,t
1880,e,s,s,w,w,t
1881,e,s,f,w,w,t
1882,e,s,s,w,w,t
1883,b,s,s,g,p,t
1884,b,s,s,g,g,t
1885,b,s,s,g,p,t
1886,b,s,s,w,w,t
1887,e,f,f,w,w,t
1888,e,s,s,w,w,e
1889,b,s,s,g,g,t
1890,b,s,s,w,g,t
1891,e,f,f,w,w,t
1892,e,f,f,w,w,t
1893,e,s,s,w,w,t
1894,e,s,s,w,w,t
1895,e,s,s,w,w,t
1896,b,s,s,g,g,t
1897,b,s,s,p,p,t
1898,e,f,f,w,w,t
1899,e,f,f,w,w,t
1900,e,f,s,w,w,t
1901,b,s,s,p,w,t
1902,e,f,f,w,w,t
1903,e,s,f,w,w,t
1904,e,f,s,w,w,t
1905,e,s,s,w,w,t
1906,e,s,s,w,w,t
1907,e,f,f,w,w,t
1908,b,s,s,w,p,t
1909,e,s,f,w,w,t
1910,e,f,f,w,w,t
1911,b,s,s,g,w,t
1912,b,s,s,g,g,t
1913,b,s,s,g,p,t
1914,e,s,s,w,w,t
1915,e,f,s,w,w,t
1916,r,s,y,w,w,e
1917,e,s,s,w,w,e
1918,e,f,f,w,w,t
1919,e,s,f,w,w,t
1920,b,s,s,g,w,t
1921,b,s,s,g,w,t
1922,e,s,s,w,w,t
1923,e,f,s,w,w,t
